phase,item,lexicality
practice,HOUSE,word
practice,WATER,word
practice,STONE,word
practice,CLOUD,word
practice,BRUSH,word
practice,BLINT,nonword
practice,FENCH,nonword
practice,DROVEK,nonword
practice,PLAM,nonword
practice,NISTER,nonword
scored,MARKET,word
scored,WINDOW,word
scored,GARDEN,word
scored,BOTTLE,word
scored,LETTER,word
scored,PLANET,word
scored,BRIDGE,word
scored,CANDLE,word
scored,FOREST,word
scored,BUTTON,word
scored,SILVER,word
scored,CARPET,word
scored,SCHOOL,word
scored,RIVER,word
scored,CAMERA,word
scored,ORANGE,word
scored,POCKET,word
scored,DINNER,word
scored,FLOWER,word
scored,ENGINE,word
scored,PILLOW,word
scored,WINTER,word
scored,PENCIL,word
scored,BASKET,word
scored,MIRROR,word
scored,TABLE,word
scored,MUSIC,word
scored,CHAIR,word
scored,PAPER,word
scored,APPLE,word
scored,MOUNTAIN,word
scored,CIRCLE,word
scored,SUMMER,word
scored,COFFEE,word
scored,KITCHEN,word
scored,TUNNEL,word
scored,JACKET,word
scored,BANANA,word
scored,HAMMER,word
scored,PURPLE,word
scored,RABBIT,word
scored,CASTLE,word
scored,OCEAN,word
scored,BREAD,word
scored,CLOCK,word
scored,HORSE,word
scored,PHONE,word
scored,TRAIN,word
scored,SHIRT,word
scored,MOUSE,word
scored,DREAM,word
scored,LIGHT,word
scored,WORLD,word
scored,GRASS,word
scored,BEACH,word
scored,FRUIT,word
scored,QUEEN,word
scored,SMILE,word
scored,PLATE,word
scored,BAPEN,nonword
scored,NUSTY,nonword
scored,LOMER,nonword
scored,TAVIC,nonword
scored,PELDON,nonword
scored,RIMBLE,nonword
scored,GORVEN,nonword
scored,SUDEN,nonword
scored,KALPEN,nonword
scored,DAXER,nonword
scored,WIMET,nonword
scored,FENLY,nonword
scored,JUPER,nonword
scored,MIVON,nonword
scored,RAKET,nonword
scored,SOLPIN,nonword
scored,VEDAR,nonword
scored,CUSPEL,nonword
scored,HONTIC,nonword
scored,BRENAL,nonword
scored,YAMER,nonword
scored,KILVEN,nonword
scored,PONTER,nonword
scored,ZELMIC,nonword
scored,RUSPEL,nonword
scored,FAMER,nonword
scored,GILTON,nonword
scored,NEVIC,nonword
scored,TUPER,nonword
scored,WALDEN,nonword
scored,SEMPLE,nonword
scored,VORIN,nonword
scored,DENTAR,nonword
scored,KOSPEL,nonword
scored,LAVEN,nonword
scored,MURIC,nonword
scored,PILTER,nonword
scored,ROFEN,nonword
scored,SINDAL,nonword
scored,JAVEL,nonword
scored,NEMPER,nonword
scored,BOLTEN,nonword
scored,CAVID,nonword
scored,DORPEL,nonword
scored,FESKIN,nonword
scored,GANTER,nonword
scored,HILVEN,nonword
scored,JORIC,nonword
scored,KESTAL,nonword
scored,LIMPER,nonword
scored,MONDEL,nonword
scored,NARVIC,nonword
scored,OSPEN,nonword
scored,PELTAR,nonword
scored,QUVEN,nonword
scored,RINDOR,nonword
scored,SAVIC,nonword
scored,TELPEN,nonword
scored,VASKET,nonword
scored,ZULEN,nonword
